Statistical profiling result from conlog-v8.log, (3625 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.1%    0.6%  operator new[](unsigned long)@@GLIBCXX_3.4
      4    0.1%    0.6%  cfree@GLIBC_2.2.5
      4    0.1%    0.6%  __clock_gettime@@GLIBC_PRIVATE
      3    0.1%    0.5%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      3    0.1%    0.5%  __open@@GLIBC_2.2.5
      3    0.1%    0.5%  __mmap@@GLIBC_PRIVATE
      2    0.1%    0.3%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      2    0.1%    0.3%  std::ostream::put(char)@@GLIBCXX_3.4
      2    0.1%    0.3%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      2    0.1%    0.3%  __read@@GLIBC_2.2.5
      2    0.1%    0.3%  __errno_location@@GLIBC_2.2.5
      1    0.0%    0.2%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.0%    0.2%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      1    0.0%    0.2%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.0%    0.2%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      1    0.0%    0.2%  operator new[](unsigned long, std::nothrow_t const&)@@GLIBCXX_3.4
      1    0.0%    0.2%  operator new(unsigned long)@@GLIBCXX_3.4
      1    0.0%    0.2%  operator delete(void*)@@GLIBCXX_3.4
      1    0.0%    0.2%  fflush@@GLIBC_2.2.5
      1    0.0%    0.2%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      1    0.0%    0.2%  __munmap@@GLIBC_PRIVATE
      1    0.0%    0.2%  __fmod_finite@GLIBC_2.15

 [Summary]:
   ticks  total  nonlib   name
    125    3.4%   18.8%  JavaScript
    534   14.7%   80.4%  C++
    107    3.0%   16.1%  GC
   2961   81.7%          Shared libraries
      5    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    205   47.0%    5.7%  __write@@GLIBC_2.2.5
     80   18.3%    2.2%  fwrite@@GLIBC_2.2.5
     31    7.1%    0.9%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     23    5.3%    0.6%  syscall@@GLIBC_2.2.5
     18    4.1%    0.5%  __libc_malloc@@GLIBC_2.2.5
     15    3.4%    0.4%  _IO_file_xsputn@@GLIBC_2.2.5
     10    2.3%    0.3%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      8    1.8%    0.2%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
