Statistical profiling result from sinlog-v8.log, (3690 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  freeaddrinfo@@GLIBC_2.2.5
      1    0.0%    0.1%  fputc@@GLIBC_2.2.5
      1    0.0%    0.1%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      1    0.0%    0.1%  __pthread_getspecific@GLIBC_2.2.5
      1    0.0%    0.1%  __lll_lock_wait_private@@GLIBC_PRIVATE
      1    0.0%    0.1%  _IO_file_sync@@GLIBC_2.2.5
      1    0.0%    0.1%  _IO_default_xsputn@@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
    134    3.6%   19.9%  JavaScript
    537   14.6%   79.9%  C++
    160    4.3%   23.8%  GC
   3018   81.8%          Shared libraries
      1    0.0%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    201   47.7%    5.4%  __write@@GLIBC_2.2.5
     68   16.2%    1.8%  fwrite@@GLIBC_2.2.5
     31    7.4%    0.8%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     22    5.2%    0.6%  syscall@@GLIBC_2.2.5
     17    4.0%    0.5%  _IO_file_xsputn@@GLIBC_2.2.5
     14    3.3%    0.4%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     11    2.6%    0.3%  __libc_malloc@@GLIBC_2.2.5
      7    1.7%    0.2%  cfree@GLIBC_2.2.5
      5    1.2%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      5    1.2%    0.1%  __open@@GLIBC_2.2.5
      4    1.0%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      4    1.0%    0.1%  operator new(unsigned long)@@GLIBCXX_3.4
      4    1.0%    0.1%  __pthread_mutex_unlock@GLIBC_2.2.5
      4    1.0%    0.1%  __pthread_mutex_lock@GLIBC_2.2.5
      4    1.0%    0.1%  __mprotect@@GLIBC_PRIVATE
      3    0.7%    0.1%  __clock_gettime@@GLIBC_PRIVATE
      2    0.5%    0.1%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      2    0.5%    0.1%  _IO_do_write@@GLIBC_2.2.5
      1    0.2%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.2%    0.0%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)@@GLIBCXX_3.4.9
